type,siret
present_2025_not_old,52889551900015
present_2025_not_old,79772521500025
present_2025_not_old,30148856500039
present_2025_not_old,90016935000015
present_2025_not_old,30613192100018
present_2025_not_old,49268984900015
present_2025_not_old,35369895400016
present_2025_not_old,75289118400018
present_2025_not_old,75109100000016
present_2025_not_old,26370070000010
present_2025_not_old,50170214600017
present_2025_not_old,90310435400019
present_2025_not_old,30149461300013
present_2025_not_old,48284172300026
present_2025_not_old,30613225900020
present_2025_not_old,40213970300019
present_2025_not_old,35371311800043
present_2025_not_old,75289578900010
present_2025_not_old,75109452500019
present_2025_not_old,26370108800019
present_2025_not_old,44975162700018
present_2025_not_old,81863010500026
present_2025_not_old,30150488200020
present_2025_not_old,48284172300034
present_2025_not_old,30613412300018
present_2025_not_old,53507889300042
present_2025_not_old,35371311800035
present_2025_not_old,75292161900017
present_2025_not_old,75109665200019
present_2025_not_old,26380265400016
present_2025_not_old,43334305000038
present_2025_not_old,42239035100050
present_2025_not_old,30151106900025
present_2025_not_old,33450435400021
present_2025_not_old,30615532600029
present_2025_not_old,84910487200015
present_2025_not_old,35371311800027
present_2025_not_old,75298655400018
present_2025_not_old,75109722100020
present_2025_not_old,26390039100016
present_2025_not_old,89497750300016
present_2025_not_old,39166270700010
present_2025_not_old,30152767700019
present_2025_not_old,92155159400010
present_2025_not_old,30615852800019
present_2025_not_old,84229605500010
present_2025_not_old,35371325800013
present_2025_not_old,75300574300020
present_2025_not_old,75109887200011
present_2025_not_old,26390050800015
present_2025_not_old,95158578500011
present_2025_not_old,53052924700013
present_2025_not_old,30155967000015
present_2025_not_old,92155159400028
present_2025_not_old,30615867600016
present_2025_not_old,42825083100032
present_2025_not_old,35371756400010
present_2025_not_old,75301134500018
present_2025_not_old,75110407600029
present_2025_not_old,26400186800019
present_2025_not_old,40940542000038
present_2025_not_old,93420657400014
present_2025_not_old,30156915800027
present_2025_not_old,44926578400016
present_2025_not_old,30616422900032
present_2025_not_old,83128927700012
present_2025_not_old,35372184800011
present_2025_not_old,75301134500026
present_2025_not_old,75110956200015
present_2025_not_old,26400288200027
present_2025_not_old,33402522800027
present_2025_not_old,53395288300015
present_2025_not_old,30157235000025
present_2025_not_old,92089530700014
present_2025_not_old,30622032800026
present_2025_not_old,47870816700026
present_2025_not_old,35372808200044
present_2025_not_old,75301675700027
present_2025_not_old,75111116200010
present_2025_not_old,26400288200019
present_2025_not_old,98135900300010
present_2025_not_old,41072816600019
present_2025_not_old,30157806800019
present_2025_not_old,84268279100012
present_2025_not_old,30622406400023
present_2025_not_old,40243561400019
present_2025_not_old,35373720800010
present_2025_not_old,75302171600018
present_2025_not_old,75111992600010
present_2025_not_old,26460399400015
present_2025_not_old,30986191200033
present_2025_not_old,52503404700023
present_2025_not_old,30158523800019
present_2025_not_old,39048509200014
present_2025_not_old,30622867700028
present_2025_not_old,50747115900032
present_2025_not_old,35373876800012
present_2025_not_old,75302183100015
present_2025_not_old,75112292000026
present_2025_not_old,26480135800013
present_2025_not_old,89461788500021
present_2025_not_old,07340638100043
present_2025_not_old,30158876000027
present_2025_not_old,78955094400019
present_2025_not_old,30624658800017
present_2025_not_old,87802733300037
present_2025_not_old,35373907100010
present_2025_not_old,75302606100014
present_2025_not_old,75112876000012
